version,user_name,date,time,product,is_success,num_files_created,missing_files_found,files_added_to_testng,error_msg,test_analyzed,ng_files_found,non_ng_files_found,total_files_with_descrepancies,total_files_without_descrepancies,passed_tests_with_no_ng_path,passed_tests_found_with_no_change,ng_files_overwritten,files_with_new_descrepencies
1.4,hadark,2024-02-18,12:54:31,Refactor_Tests,True,0,,,,71,32,39,,,,,,
1.4,yaels,2024-02-18,13:51:26,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-18,15:02:33,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-18,16:47:24,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-19,10:42:58,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-19,11:25:10,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-19,12:22:51,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-19,13:21:53,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-19,13:49:16,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-19,13:55:34,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-19,14:04:48,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-19,14:05:41,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-19,14:12:41,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-19,14:13:54,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-19,14:15:40,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-19,14:18:12,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-19,14:22:07,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-19,14:29:52,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-19,14:36:22,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-19,14:39:18,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-19,14:44:20,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-19,14:50:18,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-19,14:52:58,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-19,15:16:41,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,idob,2024-02-19,15:42:45,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,idob,2024-02-19,16:05:22,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-19,16:10:56,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.5,davidbe,2024-02-19,16:40:23,Discrepancy_Tracker,True,,,,,778,,,398,380,C:\Users\davidbe\AppData\Local\RefactoringAssistant\output\output_of_discrepancy_tracker\tests_marked_as_passed_but_missing_ng_path.txt,,0,
1.5,davidbe,2024-02-19,16:41:06,Discrepancy_Tracker,True,,,,,39,,,,,,,,5
1.4,yaels,2024-02-19,16:41:32,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-19,16:44:19,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-19,16:51:58,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-19,16:53:55,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,idob,2024-02-19,17:47:15,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,idob,2024-02-19,18:06:00,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,idob,2024-02-19,18:16:20,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.5,davidbe,2024-02-19,19:32:19,Discrepancy_Tracker,True,,,,,778,,,398,380,C:\Users\davidbe\AppData\Local\RefactoringAssistant\output\output_of_discrepancy_tracker\tests_marked_as_passed_but_missing_ng_path.txt,,66,
1.4,yaels,2024-02-20,07:59:24,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-20,08:13:35,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-20,09:11:25,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-20,10:56:02,Refactor_Tests,True,2,,,,2,2,0,,,,,,
1.4,yaels,2024-02-20,11:33:34,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-20,11:44:11,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-20,13:46:45,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,idob,2024-02-20,14:15:00,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,idob,2024-02-20,14:17:35,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-20,14:49:19,Refactor_Tests,True,1,,,,1,0,1,,,,,,
1.4,yaels,2024-02-20,14:57:54,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,yaels,2024-02-20,15:14:02,Refactor_Tests,True,1,,,,1,1,0,,,,,,
1.4,davidbe,2024-02-20,15:36:07,Refactor_Tests,True,4,,,,4,4,0,,,,,,
